ID,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
/player/176635/mesut-ozil/170099/,82,75,54,89,77,86,84,79,84,90,77,68,84,87,70,70,52,69,56,76,48,24,84,93,67,73,22,16,19,6,14,10,6,14
/player/178509/olivier-giroud/170099/,63,84,88,77,82,72,70,65,56,82,60,58,59,83,52,84,82,79,88,76,76,41,84,75,81,78,26,37,20,12,15,11,6,5
/player/164859/theo-walcott/170099/,77,82,58,75,72,81,76,74,65,79,92,93,83,79,79,76,66,75,62,69,65,35,81,73,74,78,33,39,36,11,8,9,9,8
/player/198784/alex-oxlade-chamberlain/170099/,75,68,39,77,58,85,67,53,73,82,89,89,84,74,88,75,65,76,70,74,66,51,74,72,69,68,52,57,54,16,9,6,9,9
/player/186561/aaron-ramsey/170099/,75,73,58,85,79,81,70,70,80,84,69,69,77,82,75,81,65,90,69,75,74,70,83,80,75,80,60,72,67,6,11,5,10,8
/player/156722/mathieu-flamini/170099/,63,58,70,74,73,61,65,56,71,72,63,57,62,74,72,78,70,69,73,65,83,77,69,68,61,77,73,76,72,7,12,6,6,7
/player/181291/georginio-wijnaldum/170099/,67,76,74,82,73,85,76,70,74,84,79,85,82,82,80,77,82,87,70,71,64,70,82,76,74,79,59,67,64,16,6,14,12,6
/player/183394/moussa-sissoko/170099/,76,72,70,79,67,78,75,74,74,78,79,82,74,79,63,85,80,88,86,71,77,76,76,68,68,76,69,72,71,14,8,11,10,8
/player/188155/daryl-janmaat/170099/,73,55,70,70,67,74,64,56,68,76,74,75,72,79,66,76,71,92,75,64,84,73,68,70,62,66,74,77,75,15,10,7,11,7
/player/51261/boaz-myhill/170099/,11,11,13,39,11,15,13,12,32,35,41,46,51,66,48,27,72,29,63,12,21,25,13,40,42,46,13,11,16,74,71,69,70,78
/player/183893/claudio-yacob/170099/,34,58,78,83,23,66,52,55,74,76,55,51,59,77,68,63,76,83,70,67,85,82,42,69,66,79,75,81,74,6,6,12,9,8
/player/169588/jonny-evans/170099/,52,28,81,72,46,39,32,25,62,68,69,67,50,78,57,42,80,69,73,25,78,81,28,45,44,68,78,81,82,12,16,16,15,8
/player/162981/james-morrison/170099/,83,72,54,78,83,78,64,63,73,77,69,68,77,75,77,80,51,77,59,78,69,59,73,74,69,74,55,60,64,11,6,11,16,10
/player/52306/chris-brunt/170099/,86,67,61,79,58,76,86,70,78,75,68,55,65,72,63,86,76,60,60,79,67,65,69,73,74,60,65,70,62,11,13,6,16,7
/player/109852/gareth-mcauley/170099/,49,50,85,53,23,27,39,33,51,66,50,34,34,75,33,44,73,67,79,30,79,76,45,52,49,65,77,81,69,6,11,12,10,13
/player/138782/darren-fletcher/170099/,72,65,83,82,60,65,65,47,79,75,55,53,62,80,59,77,70,76,70,73,80,84,57,68,62,83,79,81,78,10,16,7,10,9
/player/194806/craig-dawson/170099/,60,49,80,57,20,50,40,24,60,67,64,68,62,65,50,57,81,79,76,14,69,73,56,51,66,65,70,77,71,7,8,7,7,5
/player/163699/stephane-sessegnon/170099/,76,71,70,75,69,80,76,67,71,80,79,77,86,74,90,75,71,79,73,69,72,72,70,75,77,75,63,68,66,7,14,13,11,11
/player/203042/jack-butland/170099/,11,16,12,36,12,21,12,14,40,26,51,45,55,73,55,29,61,35,59,13,32,27,16,31,42,59,16,13,11,81,83,73,79,85
/player/178567/erik-pieters/170099/,58,32,73,75,34,64,67,56,60,73,67,69,65,71,57,51,68,78,76,36,85,76,61,62,65,67,77,80,81,16,15,8,12,10
/player/163303/glenn-whelan/170099/,71,63,64,74,59,64,70,75,70,72,32,50,69,78,66,70,68,79,77,65,82,80,61,66,65,74,74,76,71,10,13,16,16,11
/player/137782/glen-johnson/170099/,75,58,68,75,56,78,69,54,70,76,76,76,73,74,68,79,77,79,72,70,73,68,68,68,60,72,75,76,77,13,7,7,6,7
/player/184200/marko-arnautovic/170099/,83,75,72,79,79,84,79,74,74,85,80,79,76,73,57,78,68,79,85,71,73,53,80,81,78,77,49,60,30,14,15,10,10,15
/player/158372/ibrahim-afellay/170099/,78,71,46,81,72,80,79,75,74,82,77,77,77,75,79,75,75,71,63,76,59,58,73,76,70,78,36,67,58,14,7,10,12,8
/player/169596/ryan-shawcross/170099/,33,53,84,63,35,42,34,24,69,54,53,53,62,73,57,44,72,79,88,28,86,81,31,50,48,60,82,81,80,10,12,7,13,15
/player/186672/geoff-cameron/170099/,60,54,73,73,56,69,60,60,66,70,68,69,76,71,53,65,77,79,75,59,77,78,62,72,63,80,77,81,77,7,16,6,10,14
/player/193348/xherdan-shaqiri/170099/,74,74,37,80,76,84,82,78,75,83,89,84,87,79,94,84,63,78,73,78,64,65,77,79,65,79,51,52,53,13,12,12,11,11
/player/198202/philipp-wollscheid/170099/,30,40,85,70,34,33,29,23,60,48,50,52,46,75,34,57,58,62,83,19,78,76,38,52,42,64,76,78,75,11,7,6,11,13
/player/179547/vito-mannone/170099/,11,16,14,39,15,15,12,15,33,24,59,60,42,76,44,32,75,31,67,12,29,16,12,57,43,68,19,11,20,75,72,71,71,76
/player/138722/billy-jones/170099/,54,53,61,68,45,70,58,59,66,67,66,67,69,70,68,59,72,81,71,60,68,75,44,51,57,61,69,77,76,6,11,14,12,15
/player/186190/patrick-van-aanholt/170099/,62,61,64,73,53,74,38,61,74,71,89,88,77,76,78,70,86,85,65,64,73,67,74,64,46,65,67,76,75,9,15,7,8,6
/player/169607/lee-cattermole/170099/,61,49,66,74,58,64,57,58,76,73,67,68,64,70,71,74,63,79,78,59,93,77,47,67,64,67,72,82,80,11,9,15,14,15
/player/186200/fabio-borini/170099/,70,76,75,75,75,77,65,61,62,75,79,77,78,77,64,76,71,75,66,66,70,30,78,69,81,74,13,26,24,11,6,8,12,6
/player/3484/john-oshea/170099/,53,29,77,61,32,46,51,35,57,64,34,32,49,71,54,49,61,34,77,23,75,76,32,55,47,69,76,78,73,9,14,13,10,14
/player/50542/jermain-defoe/170099/,54,87,68,68,83,78,63,68,43,77,78,77,83,80,88,88,74,73,62,81,63,19,87,67,71,84,24,20,11,7,14,8,10,13
/player/216268/duncan-watmore/170099/,58,69,49,66,58,74,67,42,56,67,84,79,77,64,82,66,57,67,59,57,46,21,67,60,65,58,28,30,35,6,15,8,14,15
/player/138726/joleon-lescott/170099/,57,52,76,62,45,52,42,52,60,59,37,40,40,62,46,64,76,58,74,40,82,60,39,48,48,63,70,72,71,6,6,12,16,7
/player/201519/jordan-veretout/170099/,78,73,53,79,70,75,69,73,76,79,68,65,69,75,69,77,57,80,71,74,65,68,68,75,77,72,63,71,63,9,10,11,8,9
/player/187942/rudy-gestede/170099/,37,73,84,61,67,65,50,60,50,71,68,76,57,64,52,76,81,74,90,68,66,36,74,42,66,46,16,39,23,6,13,14,8,7
/player/163587/kasper-schmeichel/170099/,18,12,16,21,15,12,13,15,18,24,62,60,62,80,47,36,60,35,62,14,33,20,14,59,26,41,14,14,13,83,82,82,80,86
/player/186132/danny-drinkwater/170099/,64,61,61,81,63,73,70,69,83,80,68,68,69,79,78,76,56,83,74,73,74,76,74,77,53,77,70,79,76,12,6,8,9,12
/player/136113/wes-morgan/170099/,17,19,76,56,23,58,14,18,47,62,46,54,31,76,52,52,76,73,91,35,79,78,39,49,17,62,77,78,76,14,10,6,7,8
/player/137785/robert-huth/170099/,31,46,83,61,56,31,30,59,67,53,32,49,26,75,42,75,51,76,93,54,91,76,34,32,54,56,78,77,77,9,16,10,15,9
/player/208830/jamie-vardy/170099/,63,84,64,66,75,75,59,48,48,76,94,92,77,84,79,85,74,90,69,68,92,49,85,72,76,78,48,52,51,15,14,7,15,11
/player/183130/marc-albrighton/170099/,83,69,42,72,72,77,82,71,68,76,80,78,79,70,77,71,60,85,61,67,73,56,72,74,60,66,41,47,45,15,9,8,15,14
/player/215914/ngolo-kante/170099/,67,65,54,84,56,76,49,49,79,79,83,81,80,85,90,72,79,94,76,66,90,91,69,76,54,84,75,89,85,15,12,10,7,10
/player/169600/danny-simpson/170099/,68,27,70,64,50,64,44,32,58,67,76,72,64,75,81,37,79,79,72,54,79,77,58,63,54,60,75,77,76,10,15,13,9,11
/player/165788/leonardo-ulloa/170099/,51,74,85,69,72,70,54,56,63,70,54,54,56,75,57,76,73,67,87,62,72,33,76,61,72,71,27,48,45,13,8,8,16,11
/player/204485/riyad-mahrez/170099/,80,77,45,80,71,88,79,75,76,90,86,79,92,75,82,76,59,77,57,73,40,38,80,79,72,82,25,27,21,15,9,13,11,6
/player/139313/christian-fuchs/170099/,84,57,76,76,70,70,86,80,74,75,66,66,66,75,60,83,76,81,75,79,78,76,74,73,68,70,74,77,77,14,12,15,16,13
/player/105846/artur-boruc/170099/,12,11,11,25,13,14,13,19,34,18,37,39,40,72,40,21,73,31,69,15,38,25,17,40,21,65,13,20,20,75,72,62,74,82
/player/135883/simon-francis/170099/,75,25,68,73,26,69,51,61,66,73,68,70,58,67,60,64,55,76,77,62,73,71,58,62,44,69,74,77,75,12,6,10,8,12
/player/193011/steve-cook/170099/,40,24,71,68,31,54,22,22,60,68,67,53,56,69,70,47,71,68,81,16,74,72,12,35,20,74,74,79,73,14,12,7,14,12
/player/184749/dan-gosling/170099/,68,65,61,73,64,66,57,57,71,71,66,64,65,69,72,71,67,77,64,73,76,71,77,73,61,77,66,68,68,6,15,14,15,6
/player/172768/andrew-surman/170099/,68,63,59,82,55,72,61,68,76,74,64,62,63,69,73,67,71,80,69,65,68,65,65,76,67,73,62,68,62,16,14,7,16,8
/player/184469/harry-arter/170099/,62,70,49,80,63,72,64,70,75,73,69,69,76,71,76,76,70,77,74,75,84,71,68,75,68,71,56,70,58,7,7,11,10,8
/player/169638/charlie-daniels/170099/,74,48,64,73,32,71,67,68,68,72,79,78,73,66,72,68,78,79,72,46,51,69,69,72,72,60,71,76,72,14,16,13,6,7
/player/190885/adam-smith/170099/,71,43,56,69,40,74,59,66,61,72,78,76,75,72,69,72,53,74,68,68,62,70,59,64,48,71,72,73,71,8,9,15,9,6
/player/185422/joshua-king/170099/,63,75,63,66,64,77,69,42,47,72,88,92,78,70,71,75,72,73,75,63,50,36,70,56,69,61,22,27,19,12,9,11,12,7
/player/189446/junior-stanislas/170099/,71,69,43,72,49,72,70,75,65,72,79,84,79,64,60,69,48,76,56,66,31,60,63,71,61,64,16,27,29,13,8,6,7,6
/player/192667/allan-nyom/170099/,75,27,69,65,44,68,68,30,64,72,76,82,50,73,50,74,57,86,87,66,80,75,51,54,37,57,77,83,81,12,8,9,9,14
/player/183125/troy-deeney/170099/,55,80,82,73,74,65,68,36,60,75,69,69,65,74,74,86,86,79,92,78,80,29,77,67,80,78,33,29,25,10,11,16,12,15
/player/180706/craig-cathcart/170099/,39,29,74,71,30,47,39,39,61,59,55,67,64,69,58,56,70,71,73,41,69,68,27,43,28,75,76,77,73,8,6,12,9,13
/player/160292/ben-watson/170099/,74,67,58,76,63,68,80,76,74,72,64,54,71,73,75,73,74,78,70,64,61,72,64,71,78,74,64,72,69,13,8,14,6,6
/player/163419/bacary-sagna/170099/,74,40,79,70,56,74,66,47,64,75,75,74,68,80,76,69,84,84,81,62,75,79,66,59,59,84,84,84,84,11,9,7,9,9
/player/202652/raheem-sterling/170099/,72,73,38,81,59,86,64,49,67,84,94,92,90,79,91,68,60,75,64,70,34,26,81,76,63,74,48,58,54,15,12,12,15,9
/player/153079/sergio-aguero/170099/,70,90,68,79,85,89,82,72,63,89,92,86,86,88,90,87,80,74,73,84,57,24,91,83,80,90,13,20,12,13,15,6,11,14
/player/185103/aleksandar-kolarov/170099/,90,55,79,73,64,78,85,81,77,74,69,66,64,79,58,91,81,77,78,80,84,80,69,76,74,85,75,83,82,16,15,8,16,6
/player/192985/kevin-de-bruyne/170099/,90,83,53,89,82,85,81,84,82,86,76,78,78,88,75,85,65,85,73,86,68,52,84,88,77,84,30,39,40,15,13,5,10,13
/player/190531/eliaquim-mangala/170099/,58,27,80,60,44,46,47,48,58,50,71,77,65,54,64,67,86,77,88,48,89,78,39,47,46,71,78,80,82,10,13,6,10,14
/player/192366/nicolas-otamendi/170099/,52,53,85,71,56,41,50,39,66,64,68,71,71,78,62,69,90,78,80,56,90,82,49,45,44,75,80,83,84,12,5,8,11,12
/player/20289/yaya-toure/170099/,67,82,74,86,68,79,80,85,83,82,69,74,60,82,55,86,65,74,91,85,78,60,80,85,89,83,66,76,75,13,14,6,12,8
/player/175254/felipe-caicedo/170099/,59,71,75,69,75,72,66,68,53,77,71,74,61,78,67,84,75,68,89,68,81,43,82,61,73,70,42,44,47,7,13,7,8,10
/player/193887/hernan-perez/170099/,77,70,54,74,64,81,62,62,63,82,82,79,76,78,68,88,77,70,69,78,85,43,81,72,48,82,21,24,14,13,13,14,8,15
/player/174543/claudio-bravo/170099/,12,13,18,32,11,13,25,60,31,15,58,54,64,77,64,22,81,44,70,21,40,23,15,71,23,60,11,18,19,81,83,87,77,81
/player/168651/ivan-rakitic/170099/,81,83,58,87,80,84,88,84,92,87,67,65,71,79,66,84,51,76,63,88,67,69,80,87,78,81,52,65,53,14,11,12,5,9
/player/176580/luis-suarez/170099/,77,94,77,83,88,86,86,84,64,91,88,77,86,93,60,87,69,89,80,86,78,41,92,84,85,83,30,45,38,27,25,31,33,37
/player/158023/lionel-messi/170099/,77,95,71,88,85,97,89,90,87,95,92,87,90,95,95,85,68,74,59,88,48,22,93,90,74,94,13,28,26,6,11,15,14,8
/player/142754/javier-mascherano/170099/,63,42,68,79,51,58,63,50,75,80,67,65,71,83,78,76,75,86,74,55,88,90,51,68,60,86,82,84,83,6,10,8,5,5
/player/200389/jan-oblak/170099/,13,11,15,29,13,12,13,14,26,16,43,60,67,84,49,22,76,41,78,12,34,19,11,55,11,55,14,12,18,83,90,77,87,82
/player/182493/diego-godin/170099/,55,42,92,79,47,53,49,51,70,76,62,67,63,85,58,67,89,69,80,43,86,88,48,52,50,80,87,86,89,6,8,15,5,15
/player/194765/antoine-griezmann/170099/,82,88,80,79,87,87,84,75,75,86,87,86,90,90,80,81,87,75,61,82,69,35,91,76,71,81,23,22,11,14,8,14,13,14
/player/214997/angel-correa/170099/,64,81,61,65,77,87,82,65,56,85,86,80,87,82,83,78,54,69,59,82,41,45,79,69,55,71,46,51,44,13,10,9,8,16
/player/204639/stefan-savic/170099/,35,34,81,67,27,47,34,28,69,66,60,65,60,78,54,43,85,62,77,31,83,84,29,41,37,75,85,82,84,14,13,14,13,12
/player/206123/stefan-savic/170099/,63,58,49,64,60,72,67,58,60,74,82,78,83,62,80,64,56,66,32,61,44,30,55,62,51,43,20,21,22,16,10,11,8,8
/player/205705/zouhair-feddal/170099/,57,40,73,66,39,56,36,38,68,65,53,63,48,68,34,67,71,67,79,56,82,81,44,47,48,58,78,79,71,13,14,12,10,8
/player/183108/nordin-amrabat/170099/,78,76,68,79,73,84,77,68,67,80,87,85,88,73,79,81,56,73,77,72,67,54,73,78,77,67,45,65,55,11,14,7,6,13
/player/182896/roberto-rosales/170099/,78,51,60,75,54,77,75,54,68,79,78,78,85,78,79,73,72,85,64,63,73,73,69,63,48,74,66,76,80,11,12,11,16,8
/player/189536/duje-cop/170099/,58,80,68,69,77,68,74,80,57,73,67,63,70,80,59,70,56,75,68,76,59,32,80,66,80,71,25,30,30,12,12,16,13,12
/player/199827/pablo-hernandez/170099/,54,69,53,82,69,81,75,69,80,80,74,71,71,82,53,75,69,74,80,74,87,74,80,81,62,67,56,68,70,6,15,9,15,10
/player/192492/fabian-orellana/170099/,78,75,69,77,61,87,84,79,68,84,86,80,90,80,55,64,69,62,45,80,54,31,75,77,75,75,18,37,25,12,7,15,16,15
/player/172522/daniel-wass/170099/,78,69,67,82,69,80,79,83,77,81,75,76,79,82,59,86,59,90,68,70,59,74,74,80,64,71,59,67,68,11,9,10,13,13
/player/165536/gustavo-cabral/170099/,35,22,81,74,28,49,33,48,59,61,52,51,59,76,63,50,86,74,78,29,84,80,40,49,47,59,82,79,84,11,7,11,7,11
/player/170084/wayne-hennessey/170099/,11,12,14,12,10,8,12,11,13,12,40,41,50,61,51,34,41,29,68,10,21,22,14,58,17,48,15,18,13,73,76,82,76,71
/player/186392/joel-ward/170099/,73,46,75,70,33,64,43,34,69,67,68,69,66,73,63,68,66,77,78,63,74,77,64,68,40,73,77,78,77,8,7,7,10,11
/player/157665/scott-dann/170099/,30,40,85,63,29,38,30,29,65,66,49,54,50,77,56,52,72,74,82,32,73,80,36,55,30,80,80,80,78,6,10,15,7,9
/player/169586/fraizer-campbell/170099/,64,73,68,62,66,71,43,58,41,69,80,76,76,69,79,70,72,71,61,62,71,22,72,57,68,67,32,35,28,11,15,9,9,16
/player/198717/wilfried-zaha/170099/,79,74,43,71,58,88,54,51,65,86,89,90,87,73,82,75,50,80,73,62,68,23,73,73,66,76,36,30,34,15,10,15,11,10
/player/171972/james-mcarthur/170099/,66,56,66,78,51,66,54,61,74,77,67,64,75,77,78,65,61,85,73,61,86,78,72,71,67,78,73,74,70,1,1,1,1,1
/player/193475/pape-souare/170099/,77,43,74,71,43,74,75,69,68,72,81,77,76,73,73,65,87,73,72,54,79,67,73,64,49,65,72,73,78,8,8,14,16,10
/player/159577/damien-delaney/170099/,51,32,77,50,28,28,32,49,57,55,33,41,26,72,41,49,58,72,84,57,87,71,33,45,56,56,75,75,76,6,14,7,14,11
/player/152514/jason-puncheon/170099/,76,69,49,75,68,74,75,76,76,76,69,72,74,73,83,74,63,74,68,70,72,59,76,76,73,72,66,63,58,13,13,14,16,12
/player/192119/thibaut-courtois/170099/,14,14,13,32,12,13,19,11,31,23,46,52,61,81,45,36,68,38,70,17,23,15,13,44,27,52,11,18,16,84,91,69,86,89
/player/204311/kurt-zouma/170099/,54,47,77,62,47,48,59,60,56,67,69,77,48,75,52,56,86,72,85,49,82,78,53,57,61,74,80,83,80,14,14,7,9,15
/player/183277/eden-hazard/170099/,80,81,57,84,79,93,82,79,80,91,93,87,92,85,90,79,59,77,65,82,54,41,85,86,86,86,25,27,22,11,12,6,8,8
/player/13732/john-terry/170099/,42,46,90,66,55,45,44,31,62,60,33,34,44,81,46,61,80,63,85,33,80,83,38,59,52,82,82,82,81,14,5,6,15,8
/player/163631/leighton-baines/170099/,88,70,74,81,63,78,81,82,74,79,76,75,75,80,85,84,72,86,69,75,74,80,75,76,90,81,81,82,82,8,15,10,13,12
/player/203574/john-stones/170099/,62,29,77,80,27,70,46,29,71,79,75,75,64,77,57,46,72,80,78,38,73,77,48,59,37,81,80,83,81,7,15,11,10,8
/player/122849/arouna-kone/170099/,61,73,71,67,71,73,57,56,49,75,75,76,73,71,61,80,78,73,83,68,47,28,73,66,67,72,22,43,26,10,6,7,12,7
/player/192505/romelu-lukaku/170099/,68,88,84,71,76,76,64,66,68,79,82,89,62,77,48,88,71,80,93,74,72,27,87,70,80,84,27,30,30,8,15,14,7,10
